Level 1 (주요 카테고리),Level 2 (하위 카테고리),Level 3 (세부 향미)
과일 향/프루티,베리류/딸기류,"블랙베리, 라즈베리, 블루베리, 딸기"
과일 향/프루티,건조 과일,"건포도, 자두"
과일 향/프루티,기타 과일,"코코넛, 체리, 석류, 파인애플, 포도, 사과, 복숭아, 배"
과일 향/프루티,감귤 향/시트러스,"자몽, 오렌지, 레몬, 라임"
신맛/발효,신맛,"신맛 아로마, 아세트산, 뷰티르산, 이소발러산, 구연산, 사과산"
신맛/발효,알코올/발효,"와인향, 위스키향, 발효, 과숙"
초록/식물성,올리브 오일,
초록/식물성,생것,
초록/식물성,허브/식물성,"덜 익은, 완두콩 꼬투리, 신선한, 진한 녹색, 식물성, 건초, 허브"
초록/식물성,콩비린내,
기타,종이 냄새/곰팡이 냄새,"묵은, 판지, 종이, 목재 냄새, 곰팡이/습한, 곰팡이/먼지, 곰팡이/흙냄새, 동물 냄새, 고기/육수, 페놀"
기타,화학물질 냄새,"쓴맛, 짠맛, 약품 냄새, 석유, 스컹크, 고무 냄새"
로스팅,파이프 담배,
로스팅,담배,
로스팅,탄내/스모키,"신랄한, 재 냄새, 연기, 브라운 로스트"
로스팅,곡물 냄새/구운 빵 냄새,"곡식, 맥아"
향신료,자극적/펀전트,후추
향신료,후추,
향신료,갈색 향신료,"아니스, 육두구, 계피, 정향"
견과류/너티/코코아,견과류 냄새,"아몬드, 헤이즐넛, 땅콩"
견과류/너티/코코아,초콜릿 향,"초콜릿, 다크 초콜릿"
단맛,캐러멜 향/갈색 설탕,"당밀, 메이플 시럽, 캐러멜, 꿀"
단맛,바닐라,
단맛,바닐린,
단맛,전반적 단맛,
단맛,달콤한 아로마,
꽃향기/플로럴,홍차,
꽃향기/플로럴,꽃향기,"카모마일, 장미, 자스민"